date;open;hight;low;close;volume
2/1/91;0.05;0.05;0.05;0.05;140455
3/1/91;0.05;0.05;0.05;0.05;4092
4/1/91;0.05;0.05;0.05;0.05;35562
8/1/91;0.05;0.05;0.05;0.05;3639
9/1/91;0.05;0.05;0.05;0.05;70220
10/1/91;0.05;0.05;0.05;0.05;108987
14/1/91;0.05;0.05;0.05;0.05;21425
15/1/91;0.05;0.05;0.05;0.05;81166
16/1/91;0.05;0.05;0.05;0.05;4551
17/1/91;0.05;0.05;0.05;0.05;48332
18/1/91;0.05;0.05;0.05;0.05;4551
21/1/91;0.05;0.05;0.05;0.05;3639
23/1/91;0.05;0.05;0.05;0.05;34650
24/1/91;0.05;0.05;0.05;0.05;77517
25/1/91;0.05;0.05;0.05;0.05;126318
28/1/91;0.07;0.07;0.06;0.07;69315
30/1/91;0.08;0.09;0.08;0.08;167364
31/1/91;0.08;0.09;0.08;0.08;103514
1/2/91;0.07;0.08;0.07;0.07;208405
4/2/91;0.07;0.07;0.07;0.07;111724
5/2/91;0.07;0.07;0.07;0.07;109440
6/2/91;0.07;0.07;0.07;0.07;144556
7/2/91;0.07;0.07;0.07;0.07;44230
8/2/91;0.07;0.07;0.07;0.07;144556
11/2/91;0.07;0.07;0.07;0.07;83905
12/2/91;0.07;0.07;0.07;0.07;90740
13/2/91;0.08;0.08;0.08;0.08;69315
14/2/91;0.09;0.09;0.08;0.09;125861
15/2/91;0.09;0.09;0.09;0.09;56084
18/2/91;0.08;0.08;0.08;0.08;123129
20/2/91;0.08;0.08;0.08;0.08;72052
21/2/91;0.09;0.09;0.08;0.09;95760
22/2/91;0.08;0.08;0.08;0.08;73414
25/2/91;0.09;0.09;0.08;0.09;33742
26/2/91;0.09;0.09;0.09;0.09;124493
27/2/91;0.09;0.09;0.09;0.09;464710
28/2/91;0.09;0.09;0.09;0.09;948119
1/3/91;0.09;0.10;0.09;0.09;112633
5/3/91;0.09;0.09;0.09;0.09;52895
6/3/91;0.09;0.09;0.09;0.09;88010
7/3/91;0.08;0.08;0.08;0.08;24614
11/3/91;0.09;0.09;0.09;0.09;311014
12/3/91;0.09;0.09;0.09;0.09;2051761
13/3/91;0.09;0.09;0.09;0.09;121298
14/3/91;0.09;0.09;0.09;0.09;186973
15/3/91;0.09;0.09;0.09;0.09;376231
18/3/91;0.09;0.09;0.09;0.09;231206
19/3/91;0.10;0.10;0.10;0.10;340207
20/3/91;0.10;0.10;0.10;0.10;925773
21/3/91;0.12;0.12;0.11;0.12;1616232
22/3/91;0.11;0.12;0.11;0.11;733777
25/3/91;0.11;0.12;0.11;0.11;870133
26/3/91;0.10;0.10;0.10;0.10;296425
27/3/91;0.10;0.11;0.10;0.10;806284
1/4/91;0.11;0.12;0.11;0.11;1730706
2/4/91;0.11;0.11;0.11;0.11;870593
3/4/91;0.12;0.12;0.12;0.12;1866150
4/4/91;0.12;0.12;0.12;0.12;2711208
5/4/91;0.12;0.12;0.12;0.12;306460
8/4/91;0.11;0.12;0.11;0.11;146380
9/4/91;0.11;0.11;0.11;0.11;166449
10/4/91;0.11;0.11;0.10;0.11;1557860
11/4/91;0.10;0.10;0.10;0.10;485684
12/4/91;0.11;0.11;0.11;0.11;181498
15/4/91;0.12;0.12;0.12;0.12;316030
16/4/91;0.12;0.12;0.12;0.12;269518
17/4/91;0.12;0.12;0.12;0.12;706864
18/4/91;0.12;0.12;0.12;0.12;719636
19/4/91;0.12;0.12;0.12;0.12;1738911
22/4/91;0.12;0.13;0.12;0.12;757488
23/4/91;0.14;0.14;0.12;0.14;2720324
24/4/91;0.15;0.15;0.14;0.15;2043550
25/4/91;0.15;0.15;0.15;0.15;520802
26/4/91;0.15;0.15;0.14;0.15;1259602
29/4/91;0.15;0.15;0.15;0.15;1433813
30/4/91;0.15;0.15;0.15;0.15;1182528
2/5/91;0.15;0.15;0.14;0.15;405881
3/5/91;0.15;0.15;0.15;0.15;296425
6/5/91;0.15;0.15;0.15;0.15;253559
7/5/91;0.15;0.15;0.15;0.15;287758
8/5/91;0.14;0.15;0.14;0.14;1599812
9/5/91;0.14;0.14;0.14;0.14;1946866
10/5/91;0.15;0.15;0.15;0.15;186518
13/5/91;0.16;0.16;0.15;0.16;2050394
14/5/91;0.16;0.16;0.15;0.16;2375102
16/5/91;0.18;0.18;0.16;0.18;951308
17/5/91;0.18;0.18;0.18;0.18;841852
20/5/91;0.17;0.18;0.17;0.17;209320
21/5/91;0.17;0.18;0.17;0.17;537676
22/5/91;0.18;0.18;0.18;0.18;749739
23/5/91;0.18;0.18;0.17;0.18;491159
24/5/91;0.18;0.18;0.17;0.18;388548
27/5/91;0.18;0.18;0.18;0.18;263133
28/5/91;0.17;0.18;0.17;0.17;1574734
29/5/91;0.18;0.18;0.18;0.18;535392
30/5/91;0.18;0.18;0.18;0.18;163253
31/5/91;0.18;0.18;0.17;0.18;519888
3/6/91;0.17;0.17;0.17;0.17;166449
4/6/91;0.17;0.17;0.17;0.17;123129
5/6/91;0.17;0.17;0.17;0.17;69315
6/6/91;0.17;0.17;0.16;0.17;327888
7/6/91;0.17;0.17;0.17;0.17;262221
11/6/91;0.18;0.18;0.18;0.18;187883
12/6/91;0.17;0.18;0.17;0.17;1240905
13/6/91;0.17;0.17;0.17;0.17;1291984
14/6/91;0.17;0.17;0.17;0.17;1052100
17/6/91;0.17;0.17;0.17;0.17;357990
18/6/91;0.17;0.17;0.17;0.17;557285
19/6/91;0.17;0.17;0.17;0.17;330624
20/6/91;0.17;0.17;0.17;0.17;435972
21/6/91;0.17;0.17;0.17;0.17;286391
25/6/91;0.16;0.16;0.16;0.16;155504
26/6/91;0.16;0.16;0.16;0.16;108535
27/6/91;0.17;0.17;0.16;0.17;619304
28/6/91;0.17;0.17;0.17;0.17;500740
1/7/91;0.17;0.18;0.17;0.17;271795
2/7/91;0.17;0.18;0.17;0.17;1662749
3/7/91;0.18;0.18;0.17;0.18;411347
4/7/91;0.18;0.18;0.18;0.18;387176
5/7/91;0.18;0.18;0.18;0.18;189710
8/7/91;0.18;0.18;0.18;0.18;331538
10/7/91;0.18;0.18;0.18;0.18;1272374
11/7/91;0.19;0.19;0.19;0.19;470183
12/7/91;0.20;0.20;0.19;0.20;1109103
15/7/91;0.20;0.20;0.20;0.20;570055
16/7/91;0.20;0.20;0.20;0.20;404962
17/7/91;0.21;0.21;0.20;0.21;1441110
18/7/91;0.21;0.21;0.21;0.21;825901
19/7/91;0.22;0.22;0.22;0.22;746088
22/7/91;0.22;0.22;0.22;0.22;2076391
23/7/91;0.22;0.22;0.22;0.22;1439745
24/7/91;0.22;0.22;0.22;0.22;720095
25/7/91;0.21;0.22;0.21;0.21;780287
26/7/91;0.21;0.21;0.21;0.21;555461
29/7/91;0.21;0.21;0.20;0.21;151853
30/7/91;0.21;0.21;0.21;0.21;225278
31/7/91;0.21;0.21;0.21;0.21;234859
1/8/91;0.21;0.21;0.21;0.21;278189
2/8/91;0.22;0.22;0.21;0.22;1415568
5/8/91;0.23;0.23;0.22;0.23;1137377
6/8/91;0.24;0.24;0.23;0.24;1134188
7/8/91;0.25;0.25;0.25;0.25;1506786
8/8/91;0.27;0.27;0.25;0.27;1617597
9/8/91;0.32;0.32;0.28;0.32;967276
12/8/91;0.32;0.32;0.31;0.32;2220956
13/8/91;0.31;0.32;0.29;0.31;1480789
14/8/91;0.30;0.31;0.29;0.30;1629455
15/8/91;0.32;0.35;0.31;0.32;3743250
16/8/91;0.32;0.33;0.31;0.32;1775846
19/8/91;0.32;0.32;0.31;0.32;1863873
20/8/91;0.34;0.34;0.32;0.34;2494132
21/8/91;0.35;0.39;0.35;0.35;1598447
22/8/91;0.39;0.39;0.37;0.39;1549651
23/8/91;0.38;0.44;0.38;0.38;2021660
26/8/91;0.36;0.38;0.35;0.36;1358110
27/8/91;0.34;0.37;0.34;0.34;1001021
28/8/91;0.35;0.35;0.34;0.35;1449314
29/8/91;0.38;0.39;0.36;0.38;1782691
30/8/91;0.42;0.42;0.38;0.42;1542354
