date;open;hight;low;close;volume
25/01/2023;20.85;21.45;20.60;21.30;1671663
26/01/2023;21.75;21.80;21.30;21.40;1993430
27/01/2023;21.55;22.00;20.85;21.00;2302003
30/01/2023;21.00;21.40;20.45;20.55;1753839
31/01/2023;20.60;21.50;20.55;21.30;1133705
01/02/2023;21.35;22.00;20.75;21.40;952480
02/02/2023;21.75;21.85;21.20;21.60;2181428
03/02/2023;21.70;21.85;21.05;21.20;445075
06/02/2023;21.20;21.50;20.85;21.35;545170
07/02/2023;21.40;21.95;21.25;21.70;1080931
08/02/2023;21.60;21.85;21.10;21.50;600328
09/02/2023;21.60;22.75;21.25;22.50;5041563
10/02/2023;22.70;23.50;22.60;23.00;2178657
13/02/2023;23.20;23.40;22.25;22.80;1569855
14/02/2023;23.00;23.25;22.50;22.90;1383912
15/02/2023;22.90;23.00;22.55;22.75;865301
16/02/2023;22.75;23.10;22.50;22.65;2485054
17/02/2023;22.60;22.90;21.50;22.20;2604580
22/02/2023;22.80;23.95;22.05;23.90;3528409
23/02/2023;23.95;25.10;23.25;23.65;5075038
24/02/2023;24.00;24.00;23.35;23.50;1211051
27/02/2023;24.00;24.00;23.30;23.75;1924555
28/02/2023;23.95;24.10;23.35;24.10;1335120
01/03/2023;24.30;25.00;24.00;24.95;2377131
02/03/2023;24.95;25.65;24.70;24.75;1785441
03/03/2023;24.95;25.80;24.75;25.55;2189748
06/03/2023;25.85;27.00;25.55;25.95;2628287
07/03/2023;26.00;26.80;25.45;26.30;2322201
08/03/2023;26.50;27.30;26.50;27.20;3303801
09/03/2023;27.00;27.40;25.80;25.80;2394709
10/03/2023;26.00;26.20;24.30;24.50;2202724
13/03/2023;23.60;24.45;22.50;23.25;2847601
14/03/2023;23.40;23.75;22.55;22.80;3039637
15/03/2023;22.70;22.70;21.25;21.70;3610288
16/03/2023;21.65;22.70;21.65;22.60;1478354
17/03/2023;22.60;22.65;21.85;22.30;1007587
20/03/2023;22.55;22.65;22.00;22.60;712719
21/03/2023;23.00;23.20;22.10;22.50;3165964
22/03/2023;22.50;22.90;21.20;21.35;4940979
23/03/2023;21.40;21.90;20.30;21.80;2213653
27/03/2023;21.60;22.20;21.05;22.10;1362782
28/03/2023;22.00;22.65;21.65;22.60;3018989
29/03/2023;22.75;23.40;22.70;23.10;2300957
30/03/2023;23.10;24.00;23.10;23.30;2942647
31/03/2023;23.65;23.90;22.80;23.15;3063322
03/04/2023;23.15;23.65;22.60;23.60;2764254
04/04/2023;23.70;24.20;23.05;23.50;550483
